paper number,bioinformatics tools
0,MetaPhlAn2
0,Kraken
0,Bowtie2
1,CLARK
1,MetaPhlAn2
1,mothur
1,UBLAST
2,CLARK
2,USEARCH
2,MetaPhlAn2
2,BWA
2,BLAST
3,TOSV
3,SmaltAlign
3,VirMet
4,SMALT
4,BLAST
5,Canu
5,Pilon
5,Snippy
5,SPAdes
5,Prokka
5,IDBA-UD
5,ABRicate
5,mlst
5,ESOM
5,BLAST
5,Kraken
6,mothur
6,Kraken
6,BWA
7,CLARK
7,Kraken
7,MetaPhlAn2
7,USEARCH
7,UBLAST
8,MAFFT
8,PhyML
8,SURPI+
9,Porechop
9,Minimap2
9,Canu
9,BLAST
9,WIMP
9,ARMA
10,MetaPhlAn2
10,BioBloom
10,BWA
10,BBMap
11,Kraken
11,BLAST
11,Bowtie2
12,MIRA
12,SpeciesFinder
12,Geneious
12,BLAST
12,ResFinder
13,BLAST
13,MetaMIC
14,MetaPhlAn2
14,Bowtie2
14,Geneious
15,Bowtie2
15,PRICE
16,WIMP
17,RTG Core 3.4
17,Blast2GO
18,STAR
18,cd-hit-dup
18,Bowtie2
18,GSNAPL
18,RepeatMasker
19,BWA
19,BBMap
19,MetaPhlAn2
19,LMAT
20,Bowtie2
20,cd-hit-dup
20,GSNAPL
20,RepeatMasker
21,Fast5-to-Fastq
21,Porechop
21,Minimap2
21,Canu
21,BLAST
22,
23,IDBA-UD
24,ESOM
24,BLAST
24,ABRicate
24,mlst
24,Kraken
24,Canu
24,Pilon
24,Snippy
24,SPAdes
24,Prokka
25,BWA
25,MEM
25,SAMtools
25,Plot2
26,ONT MinION
26,Centrifuge
26,dustmasker
26,Minimap2
26,SLURM
27,Minimap2
27,Japsa
27,One Codex online portal
28,BWA
29,BioBloom
29,LMAT
30,BLAST
30,DIAMOND
