paper number,Tissue
0,Bone and joint
1,Aortic valve
2,Aortic valve
3,Cerebrospinal fluid
4,"Sputum, BAL or ETAs*"
5,Feces
6,Liver
7,"Sputum, BAL or ETAs*"
8,Cerebrospinal fluid
9,"Sputum, BAL or ETAs*"
9,"Sputum, BAL or ETAs*"
10,Resected prostheses
11,Cerebrospinal fluid
12,Urine
13,Interface of dead and living tissues
14,Cerebrospinal fluid
15,Cerebrospinal fluid
16,"Sputum, BAL or ETAs*"
17,Blood
18,Cerebrospinal fluid
19,Sonication fluid or synovial fluid
20,Cerebrospinal fluid
21,"Sputum, BAL or ETAs*"
22,Blood
23,Feces
24,Cerebrospinal fluid
25,Sonication fluid or synovial fluid
26,Blood
27,Lung biopsy tissues
28,Sonication fluid or synovial fluid
29,Cerebrospinal fluid
